team,league,team_country,team_continent
FC Barcelona,LaLiga Santander,Spain,Europe
Juventus,Serie A TIM,Italy,Europe
Atlético Madrid,LaLiga Santander,Spain,Europe
Manchester City,Premier League,England,Europe
Paris Saint-Germain,Ligue 1,France,Europe
FC Bayern München,Bundesliga,Germany,Europe
Liverpool,Premier League,England,Europe
Real Madrid,LaLiga Santander,Spain,Europe
Chelsea,Premier League,England,Europe
Tottenham Hotspur,Premier League,England,Europe
Napoli,Serie A TIM,Italy,Europe
Inter,Serie A TIM,Italy,Europe
Borussia Dortmund,Bundesliga,Germany,Europe
Manchester United,Premier League,England,Europe
Lazio,Serie A TIM,Italy,Europe
Arsenal,Premier League,England,Europe
Leicester City,Premier League,England,Europe
Borussia Mönchengladbach,Bundesliga,Germany,Europe
Real Sociedad,LaLiga Santander,Spain,Europe
Atalanta,Serie A TIM,Italy,Europe
Milan,Serie A TIM,Italy,Europe
Olympique Lyonnais,Ligue 1,France,Europe
Villarreal CF,LaLiga Santander,Spain,Europe
RB Leipzig,Bundesliga,Germany,Europe
Cagliari,Serie A TIM,Italy,Europe
Ajax,Eredivisie,Netherlands,Europe
SL Benfica,Primeira Liga,Portugal,Europe
Wolverhampton Wanderers,Premier League,England,Europe
Everton,Premier League,England,Europe
AS Monaco,Ligue 1,France,Europe
FC Porto,Primeira Liga,Portugal,Europe
RC Celta,LaLiga Santander,Spain,Europe
Fiorentina,Serie A TIM,Italy,Europe
Torino,Serie A TIM,Italy,Europe
Sevilla FC,LaLiga Santander,Spain,Europe
Grêmio,Campeonato Brasileiro Série A,Brazil,South America
Roma,Serie A TIM,Italy,Europe
Newcastle United,Premier League,England,Europe
Real Betis,LaLiga Santander,Spain,Europe
Valencia CF,LaLiga Santander,Spain,Europe
Eintracht Frankfurt,Bundesliga,Germany,Europe
Medipol Başakşehir FK,Süper Lig,Turkey,Europe
Bayer 04 Leverkusen,Bundesliga,Germany,Europe
Crystal Palace,Premier League,England,Europe
Levante UD,LaLiga Santander,Spain,Europe
VfL Wolfsburg,Bundesliga,Germany,Europe
Athletic Club de Bilbao,LaLiga Santander,Spain,Europe
Shanghai SIPG FC,Chinese Super League,China,Asia
Guangzhou Evergrande Taobao FC,Chinese Super League,China,Asia
Al Shabab,Saudi Professional League,Saudi Arabia,Asia
Inter Miami,MLS,USA,North America
Los Angeles FC,MLS,USA,North America
Beijing Sinobo Guoan FC,Chinese Super League,China,Asia
Olympique de Marseille,Ligue 1,France,Europe
SV Werder Bremen,Bundesliga,Germany,Europe
Getafe CF,LaLiga Santander,Spain,Europe
TSG 1899 Hoffenheim,Bundesliga,Germany,Europe
LOSC Lille,Ligue 1,France,Europe
Deportivo Alavés,LaLiga Santander,Spain,Europe
Burnley,Premier League,England,Europe
Leeds United,Premier League,England,Europe
Genoa,Serie A TIM,Italy,Europe
PFC CSKA Moscow,Russian Premier League,Russia,Europe
Fulham,Premier League,England,Europe
Galatasaray SK,Süper Lig,Turkey,Europe
West Ham United,Premier League,England,Europe
Flamengo,Campeonato Brasileiro Série A,Brazil,South America
Palmeiras,Campeonato Brasileiro Série A,Brazil,South America
Brazil,International,International,International
Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,South America
São Paulo,Campeonato Brasileiro Série A,Brazil,South America
SD Eibar,LaLiga Santander,Spain,Europe
River Plate,Argentine Primera División,Argentina,South America
OGC Nice,Ligue 1,France,Europe
Atlanta United,MLS,USA,North America
Boca Juniors,Argentine Primera División,Argentina,South America
PSV,Eredivisie,Netherlands,Europe
Shakhtar Donetsk,Ukrainian Premier League,Ukraine,Europe
Feyenoord,Eredivisie,Netherlands,Europe
Real Valladolid CF,LaLiga Santander,Spain,Europe
Sporting CP,Primeira Liga,Portugal,Europe
1. FC Union Berlin,Bundesliga,Germany,Europe
Club Brugge KV,Belgian Pro League,Belgium,Europe
Dalian YiFang FC,Chinese Super League,China,Asia
AS Saint-Étienne,Ligue 1,France,Europe
Sassuolo,Serie A TIM,Italy,Europe
Tigres U.A.N.L.,Liga MX,Mexico,North America
Vissel Kobe,J1 League,Japan,Asia
Ecuador,International,International,International
Uruguay,International,International,International
Dynamo Kyiv,Ukrainian Premier League,Ukraine,Europe
Dinamo Zagreb,Croatian First Football League,Croatia,Europe
Fluminense,Campeonato Brasileiro Série A,Brazil,South America
Udinese,Serie A TIM,Italy,Europe
Stade Rennais FC,Ligue 1,France,Europe
Aston Villa,Premier League,England,Europe
